id,productId,locale,title,subtitle,descriptionHtml,ingredients,longDescriptionHtml
cmr0q38fc002haixkm5jh3tbj,cmr0q38fc002gaixk4ozjdca4,ru,Куриные крылышки в соусе BBQ,200 г,"<p>Куриные крылышки, соус BBQ<br/>200 г</p>",,
cmr0q39qa002kaixkuwevkedq,cmr0q39qa002jaixk5kd4kttd,ru,Авторский сет «Армавир № 2»,900 г,"<p>Каре ягнёнка, печёные овощи<br/>900 г</p>",,
cmr0q3asn002naixki0fewmsj,cmr0q3asn002maixkg9uxir95,ru,Крем-суп томатный,300 г,<p>Томатный крем-суп<br/>300 г</p>,,
cmr0q3bsh002qaixkosovrcfu,cmr0q3bsg002paixkmr9to954,ru,Крем-суп с чечевицей,300 г,<p>Крем-суп с чечевицей<br/>300 г</p>,,
cmr0q3crt002taixkdlm43j06,cmr0q3crt002saixkuxyjz34n,ru,Крем-суп сырный,300г,<p>Подаётся с сухариками собственного производства.<br/>300г</p>,,
cmr0q3du1002waixksjbkx5k1,cmr0q3du1002vaixkwdc323jk,ru,Борщ с говядиной,350г,<p>Подаётся со сметаной и чёрным хлебом.<br/>350г</p>,,
cmr0q3esq002zaixk7681tuko,cmr0q3esq002yaixkji6zo8vv,ru,Солянка,350г,"<p>Подаётся с лимоном, чёрным хлебом и со сметаной.<br/>350г</p>",,
cmr0q3fu40032aixknhky1s8s,cmr0q3fu40031aixkczor1rzk,ru,Суп с морскими деликатесами,350г,"<p>Сочетание кислого, острого и пряного вкусов с добавлением грибов, черри, креветок, кальмаров и мидий. Подаётся с рисом, маринованным имбирём.<br/>350г</p>",,
cmr0q3gtz0035aixk6dd6s9oy,cmr0q3gtz0034aixkksn8v7so,ru,Спас - традиционный армянский кисломолочный суп,300г,"<p>Мацун, дзавар, кинза, сухарики собственного производства, жареный лук. Подаётся горячим.<br/>300г</p>",,
cmr0q3hti0038aixkzutmkkac,cmr0q3hti0037aixkfvyez61z,ru,Суп-лапша,300г,<p>Подаётся с чёрным хлебом.<br/>300г</p>,,
cmr0q3ixe003baixkaffbbu4j,cmr0q3ixd003aaixkh0ih5rkt,ru,Хашлама из баранины,400 г,"<p>Баранина, бульон/овощи<br/>400 г</p>",,
cmr0q3k2o003eaixkiyb42qnb,cmr0q3k2o003daixkvpv261iu,ru,Хашлама с говяжьим хвостом,400 г,<p>400 г</p>,,
cmr0q3l44003haixktkc8vgy2,cmr0q3l44003gaixkeasypcpr,ru,Толма,200/40г,"<p>Традиционное армянское блюдо, представляющее собой мясную начинку из говядины, завёрнутую в виноградные листья. Подаётся с чесночным мацуном.<br/>200/40г</p>",,
cmr0q3m7u003kaixkd7gqtxan,cmr0q3m7u003jaixkxrls0hhi,ru,Хурджин,350г,"<p>Запечённая телятина с шампиньонами, болгарским перцем, помидорами, нутом, луком и сливочным соусом. Подаётся в хрустящем армянском лаваше.<br/>350г</p>",,
cmr0q3nbj003naixkbewfabxv,cmr0q3nbj003maixkj8ykoe4c,ru,Тарелка Тимура,300 г,"<p>Запеченные колбаски собственного приготовления из свинины/говядины, картофель, шампиньоны<br/>300 г</p>",,
cmr0q3obe003qaixk4l9rccv0,cmr0q3obe003paixkejo19bh2,ru,Бефстроганов,260 г,"<p>Обжаренная телятина, лук, шампиньоны, сливочный соус<br/>260 г</p>",,
cmr0q3pdo003taixk4n5zcus2,cmr0q3pdn003saixkx37d68cr,ru,Ризотто,220 г,"<p>Рис ризотто, сливочный соус, куркума, пармезан, черри, мидии, креветки, кальмары<br/>220 г</p>",,
cmr0q3qhm003waixkbxj8cxsy,cmr0q3qhm003vaixk54klrknr,ru,Картофель фри,160г,<p>160г</p>,,
cmr0q3rjp003zaixk8ew208rg,cmr0q3rjp003yaixkjpaa2it2,ru,Картофель по-деревенски,200г,<p>200г</p>,,
cmr0q3slw0042aixk0rowribq,cmr0q3slv0041aixk89vy7v50,ru,Оссобуко,,<p>Телячья голяшка в сочетании с итальянским рисом ризотто или пастой ариштой в нежном сливочном соусе. Подаётся с фирменным винным соусом.</p>,,
cmr0q3tnd0045aixk12fjarpi,cmr0q3tnd0044aixkmy4a7ea6,ru,Куриный стейк с сырной начинкой,,"<p>Нежная куриная грудка с сырной начинкой, подаётся с картофельным пюре с добавлением шпината, а также фирменным соусом дор-блю.</p>",,
cmr0q3um30048aixkg33suvja,cmr0q3um30047aixk1fo60j4l,ru,Колбаски собственного приготовления из курицы,375/40/10 г,"<p>Колбаски из курицы, фирменный соус, лук, зелень<br/>375/40/10 г</p>",,
cmr0q3vle004baixkpauxijbn,cmr0q3vle004aaixkis4fac2t,ru,Колбаски собственного приготовления из свинины/говядины,250/40/20 г,"<p>Колбаски из свинины/говядины, фирменный соус, лук, зелень<br/>250/40/20 г</p>",,
cmr0q3wly004eaixksxx0apei,cmr0q3wly004daixk700h8o6k,ru,Овощи на мангале,200 г,"<p>Кабачок, баклажан, болгарский перец<br/>200 г</p>",,
cmr0q3xkx004haixkyd2m8na7,cmr0q3xkx004gaixk6c8ruqu6,ru,Печень говяжья,200/40/20 г,"<p>Говяжья печень, фирменный соус, лук, зелень<br/>200/40/20 г</p>",,
cmr0q3ym6004kaixk6ivi7334,cmr0q3ym5004jaixkp0388amx,ru,Свиная шея,200/40/20 г,"<p>Свинина, фирменный соус, лук, зелень<br/>200/40/20 г</p>",,
cmr0q3znx004naixkokxb7tdl,cmr0q3znw004maixkqy06yw1u,ru,Каре ягненка по весу,100/40/30 г,"<p>Каре ягненка, фирменный соус, лук, зелень<br/>100/40/30 г</p>",,
cmr0q40xs004qaixkv39r7ym3,cmr0q40xs004paixkjh3buhek,ru,Антрекот из свинины по весу,100/40/30 г,"<p>Свиной антрекот, фирменный соус, лук, зелень<br/>100/40/30 г</p>",,
cmr0q425j004taixkckgezbkb,cmr0q425j004saixkhxw98399,ru,Грудка индейки,200/40/20 г,"<p>Грудка индейки, фирменный соус, лук, зелень<br/>200/40/20 г</p>",,
cmr0q4362004waixkymagxuqz,cmr0q4362004vaixk74tdpsyf,ru,Куриные крылья,200/40/20 г,"<p>Куриные крылья, фирменный соус, лук, зелень<br/>200/40/20 г</p>",,
cmr0q447f004zaixkrtzkwu89,cmr0q447f004yaixk8ucry2pa,ru,Свиные рёбра,200/40/20 г,"<p>Свиные рёбра, фирменный соус, лук, зелень<br/>200/40/20 г</p>",,
cmr0q45990052aixkorp3wj0v,cmr0q45980051aixkhbvbpd0c,ru,Телятина (вырезка),200/40/20г,<p>Подаётся с фирменным соусом и луком с зеленью.<br/>200/40/20г</p>,,
cmr0q46aa0055aixkibezo39c,cmr0q46a90054aixk08siben6,ru,Баранина (парная),200/40/20г,<p>Подаётся с фирменным соусом и луком с зеленью.<br/>200/40/20г</p>,,
cmr0q47bb0058aixk0em4o33z,cmr0q47bb0057aixk1czrvz15,ru,Люля-кебаб из говядины с сыром,160/40/20г,<p>Подаётся с фирменным соусом и красным луком.<br/>160/40/20г</p>,,
cmr0q48b3005baixkp5ncn0tt,cmr0q48b3005aaixkd80t7a6u,ru,Люля-кебаб из говядины с зеленью,160/40/20г,<p>Подаётся с фирменным соусом и красным луком.<br/>160/40/20г</p>,,
cmr0q49de005eaixkc0bb9ww3,cmr0q49de005daixk403aeej0,ru,Люля-кебаб из курицы,150/40/20г,<p>Подаётся с фирменным соусом и красным луком.<br/>150/40/20г</p>,,
cmr0q4aev005haixkycg6sgv2,cmr0q4aev005gaixk0djcj0j7,ru,Люля-кебаб из курицы с шампиньонами,165/40/20г,<p>Подаётся с фирменным соусом и красным луком.<br/>165/40/20г</p>,,
cmr0q4bdv005kaixkys4n6b3l,cmr0q4bdv005jaixkqegx9g28,ru,Ассорти шашлыков №1,2кг,"<p>Свиная шея, люля-кебаб из курицы, люля-кебаб из говядины, колбаски собственного приготовления из свинины-говядины, куриные крылья, куриная голень, картофель, шампиньоны. Подаётся с фирменным (красным) соусом и луком с зеленью.<br/>2кг</p>",,
cmr0q4cga005naixkxh8h3yjo,cmr0q4cga005maixku77o37de,ru,Ассорти шашлыков №2,2кг,"<p>Баранина (парная), люля-кебаб из курицы, люля-кебаб из говядины, колбаски собственного приготовления из курицы, куриные крылья, куриная голень, картофель, шампиньоны. Подаётся с фирменным (красным) соусом и луком с зеленью.<br/>2кг</p>",,
cmr0q4dkb005qaixkawcbl9y0,cmr0q4dkb005paixkntxl5uup,ru,Ассорти шашлыков №4,2.5кг,"<p>Свиная шея, куриная голень, колбаски собственного приготовления из курицы, колбаски собственного приготовления из свинины/говядины, люля-кебаб из курицы, картофель, болгарский перец, баклажаны, кабачок. Подаётся с фирменным (красным) соусом и луком с зеленью.<br/>2.5кг</p>",,
cmr0q4eko005taixkwjl1o253,cmr0q4eko005saixksgh7je7b,ru,Ассорти шашлыков №5,2.5кг,"<p>Антрекот из свинины, свиные рёбра, свиная шея, грудка индейки, колбаски собственного приготовления из свинины/говядины, люля-кебаб из курицы, картофель. Подаётся с фирменным (красным) соусом и луком с зеленью.<br/>2.5кг</p>",,
cmr0q4fmw005waixkqngqpvri,cmr0q4fmw005vaixk2ujnqro3,ru,Куриное ассорти,2.5кг,"<p>Куриная голень, куриные крылья, куриная грудка, грудка индейки, колбаски собственного приготовления из курицы, люля-кебаб из курицы, картофель. Подаётся с фирменным (красным) соусом и луком с зеленью.<br/>2.5кг</p>",,
cmr0q4gpa005zaixkq9ab92ij,cmr0q4gpa005yaixkl1uani1s,ru,Ассорти морепродуктов,2кг,"<p>Сёмга, форель радужная, тигровые креветки, кальмары, мидии. Подаётся с гранатовым соусом и лимоном.<br/>2кг</p>",,
cmr0q4hqf0062aixkokletauo,cmr0q4hqf0061aixkf9mumrl9,ru,Маргарита,28 см,"<p>Авторское тесто, фирменный соус «Маргарита», моцарелла, сулугуни, базилик, томаты<br/>28 см</p>",,
cmr0q4ito0065aixkha0ypc06,cmr0q4ito0064aixkg5ta9b0u,ru,Аппетитный цыпленок,28 см,"<p>Авторское тесто, куриная грудка, шампиньоны, болгарский перец, фирменный соус «Маргарита», моцарелла, сулугуни, томаты, базилик<br/>28 см</p>",,
cmr0q4ju20068aixks6sb3bsb,cmr0q4ju20067aixkgiparc79,ru,Цезарь,28 см,"<p>Авторское тесто, фирменный соус «Цезарь», черри, микс зелени, пармезан, куриная грудка<br/>28 см</p>",,
cmr0q4kwt006baixk6z82blsr,cmr0q4kwt006aaixkihkwmmm6,ru,Чоризо,28 см,"<p>Авторское тесто, фирменный соус «Маргарита», колбаски чоризо, моцарелла, сулугуни, томаты, базилик<br/>28 см</p>",,
cmr0q4lzu006eaixk03s929kx,cmr0q4lzu006daixk1doxwjqs,ru,Пицца с бастурмой,28см,"<p>Авторское тесто, бастурма, сыр моцарелла, сулугуни, томаты, базилик, фирменный соус &quot;Маргарита&quot;.<br/>28см</p>",,
cmr0q4n1v006haixkvchouan2,cmr0q4n1v006gaixk6tzthej5,ru,Пицца с охотничьими колбасками,28см,"<p>Авторское тесто, моцарелла, сулугуни, охотничьи колбаски, томаты, базилик, фирменный соус &quot;Маргарита&quot;.<br/>28см</p>",,
cmr0q4o4c006kaixk4pivbt9w,cmr0q4o4c006jaixklpxa0f37,ru,Хачапури по-аджарски с помидором,,"<p>Авторское тесто, сулугуни, моцарелла, помидоры, яйцо.</p>",,
cmr0q4p7h006naixkqqp7a72s,cmr0q4p7h006maixkpyfjo6qd,ru,Хачапури по-аджарски,,"<p>Авторское тесто, сулугуни, моцарелла, яйцо.</p>",,
cmr0q4q8r006qaixkp8htgfvd,cmr0q4q8r006paixkx24f9w6r,ru,Хачапури по-мегрельски,,"<p>Авторское тесто, сулугуни, моцарелла.</p>",,
cmr0q4rdj006taixk5q4nucvi,cmr0q4rdi006saixkit1jqqmu,ru,Ламаджо из говядины,,<p>Традиционная армянская лепёшка с мясом говядины. Подаётся с лимоном.</p>,,
cmr0q4sko006waixk4toxkkl1,cmr0q4sko006vaixkilehlqmf,ru,Ламаджо из говядины с сыром,,<p>Традиционная армянская лепёшка с мясом говядины и сыром. Подаётся с лимоном.</p>,,
cmr0q4tln006zaixkvhlj7nv7,cmr0q4tln006yaixkejaol5sc,ru,Картофель фри,120г,<p>Картофель фри с фирменным (красным) соусом.<br/>120г</p>,,
cmr0q4ult0072aixkc0t6d361,cmr0q4uls0071aixky5vnm8rc,ru,Спагетти с куриной сосиской,160г,"<p>Спагетти, куриная сосиска.<br/>160г</p>",,
cmr0q4vuy0075aixk4vezb23w,cmr0q4vuy0074aixkkobbs1dr,ru,куриный супчик,250г,"<p>Куриное мясо, пшено, картофель, морковь.<br/>250г</p>",,
cmr0q4x5u0078aixky7hhsgzl,cmr0q4x5u0077aixkrip67yx8,ru,Супик лапша,250г,"<p>Куриное мясо, лапша, морковь, картофель.<br/>250г</p>",,
cmr0q4y7a007baixk2xkaxnmu,cmr0q4y7a007aaixkx7ltj8w8,ru,Кесадилья с куриным мясом,260 г,"<p>Тортилья, фирменный красный соус, лук, болгарский перец, сыр моцарелла, куриное мясо<br/>260 г</p>",,
cmr0q4z6q007eaixkhv83p007,cmr0q4z6q007daixk4kubfi1l,ru,Чизкейк,1 шт.,<p>Шоколадный или классический чизкейк<br/>1 шт.</p>,,
cmr0q50df007haixkxfcm4ekx,cmr0q50df007gaixk7dndompn,ru,Брауни,1 шт.,"<p>Брауни, ванильное мороженое, шоколадный топпинг<br/>1 шт.</p>",,
cmr0q51j1007kaixkdttpsqmm,cmr0q51j1007jaixkvckhoajo,ru,Муравейник,1шт.,"<p>Десерт подаётся с карамельным топпингом, миндальной стружкой.<br/>1шт.</p>",,
cmr0q52ji007naixkgn5bxu89,cmr0q52ji007maixkp9r3han1,ru,Медовик с солёной карамелью,1шт.,<p>Классический медовик.<br/>1шт.</p>,,
cmr0q53kh007qaixkkiwya8zk,cmr0q53kh007paixk2u94ofr7,ru,Красный бархат,1шт.,<p>Классический красный бархат. Десерт подаётся с клубничным топпингом.<br/>1шт.</p>,,
cmr0q54kf007taixkx027xhzr,cmr0q54kf007saixk9iokjw3e,ru,Шашлычный соус красный,50 г,<p>Соус шашлычный<br/>50 г</p>,,
cmr0q55n7007waixknmlk9hie,cmr0q55n7007vaixkikpupcgk,ru,Чесночный соус,50 г,<p>Соус чесночный<br/>50 г</p>,,
cmr0q56y4007zaixkfi8zuxel,cmr0q56y4007yaixkg1i3k1qa,ru,Гранатовый соус,50 г,<p>Соус гранатовый<br/>50 г</p>,,
cmr0q57y80082aixko0q9tbd3,cmr0q57y70081aixk6sb01d9k,ru,Барбекю соус,50 г,<p>Соус барбекю<br/>50 г</p>,,
cmr0q59020085aixkbyyz782n,cmr0q59020084aixktmqyus4q,ru,Шафрановый соус,50 г,<p>Соус шафрановый<br/>50 г</p>,,
cmr0q5aa20088aixkmk3tl4pd,cmr0q5aa20087aixkk7z1mw70,ru,Дор-блю соус,50 г,<p>Соус дор-блю<br/>50 г</p>,,
cmr0q5b98008baixkrfmcnq7g,cmr0q5b98008aaixk5n7af9ih,ru,Сырный соус,50 г,<p>Соус сырный<br/>50 г</p>,,
cmr0q5c8u008eaixk8wil8m3j,cmr0q5c8u008daixkki4t629o,ru,Сметана,50 г,<p>Сметана<br/>50 г</p>,,
cmr0q5dbs008haixkue80ojwc,cmr0q5dbs008gaixkvckxbxeg,ru,Майонез,50 г,<p>Майонез<br/>50 г</p>,,
cmr0q5ec0008kaixkrfh8uf6e,cmr0q5ec0008jaixkfev3f2ot,ru,Кетчуп фирменный,50 г,<p>Фирменный кетчуп<br/>50 г</p>,,
cmr0q5fhq008naixk9f59kpvd,cmr0q5fhp008maixkebhmos4a,ru,Мацун чесночный,50 г,<p>Мацун чесночный<br/>50 г</p>,,
cmr0q5gqd008qaixkusdwqebe,cmr0q5gqd008paixk1kvpn4w7,ru,Винный соус,50 г,<p>Соус винный<br/>50 г</p>,,
cmr0q5hq0008taixk69oxuj23,cmr0q5hq0008saixkuynxcknl,ru,Демиглас,50 г,<p>Соус демиглас<br/>50 г</p>,,
cmr0q5isu008waixk9hy41nm2,cmr0q5isu008vaixkrarsh3im,ru,Мацун,100 мл,<p>Мацун<br/>100 мл</p>,,
